Owner,Situs Address,ZIP,Parcel ID,Geo ID,Land Type,Acres,Market Value
323 EAST SIXTH STREET LLC,E 321 6 ST   TX 78701,78701,194495,0206031612,COMMERCIAL IMPROVED,0.0646,"$1,372,313"
400 COLORADO OWNER LLC,  400 COLORADO ST   TX 78701,78701,194322,0206011707,COMMERCIAL IMPROVED,0.13519999,"$8,000,000"
402 EAST SIXTH VENTURE INC,E 402 6 ST   TX 78701,78701,194543,0206040217,COMMERCIAL IMPROVED,0.0676,"$1,700,000"
404 COLORADO OWNER LLC,  404 COLORADO ST   TX 78701,78701,194321,0206011706,COMMERCIAL IMPROVED,0.13519999,"$3,397,267"
404 E SIXTH STREET LTD,E 404 6 ST   TX 78701,78701,194542,0206040216,COMMERCIAL IMPROVED,0.0676,"$1,275,000"
405 E 7TH ST LTD,E 405 7 ST   TX 78701,78701,194531,0206040204,COMMERCIAL IMPROVED,0.20280001,"$2,182,575"
406 E SIXTH STREET LTD,E 406 6 ST   TX 78701,78701,194541,0206040215,COMMERCIAL IMPROVED,0.0676,"$1,250,000"
408 CONGRESS AVENUE LLC,  408 CONGRESS AVE   TX 78701,78701,192807,0205020212,COMMERCIAL IMPROVED,0.0845,"$2,659,067"
409 FIRST FLOOR LLC,E 409 6 ST   TX 78701,78701,194523,0206040105,COMMERCIAL IMPROVED,0.1881,"$4,800,000"
410 AVENUE LOFTS LP,E 410 5TH ST     78701,78701,963038,0206042301,CONDOS,0.81099999,"$18,458,880"
416 CONGRESS LLC,  416 CONGRESS AVE   TX 78701,78701,192804,0205020209,COMMERCIAL IMPROVED,0.1657,"$9,611,148"
418 EAST 6TH STREET LLC & ETAL,E 418 6 ST   TX 78701,78701,194535,0206040209,COMMERCIAL IMPROVED,0.1028,"$2,697,684"
421 SIXTH LTD,E 421 6 ST   TX 78701,78701,194527,0206040109,COMMERCIAL IMPROVED,0.0882,"$3,385,217"
423 E 6TH LLC,E 423 6 ST   TX 78701,78701,194528,0206040110,COMMERCIAL IMPROVED,0.0882,"$1,667,111"
